Point ID,EdgeArray_0,EdgeArray_1,EdgeArray_Magnitude,EdgePCoordArray,MaximumInscribedSphereRadius,Points_0,Points_1,Points_2,Points_Magnitude,TCoords__0,TCoords__1,TCoords__Magnitude
981,6074,6074,8589,0,0.847448,42.8096,54.3625,49.2807,84.9502,0.860177,0,0.860177
982,35928,35928,50809,0,0.848457,42.7135,54.3749,49.2575,84.8962,0.861062,0,0.861062
983,68344,68344,96653,0,0.849659,42.6167,54.3783,49.231,84.8344,0.861947,0,0.861947
984,61449,56703,83613,0.33289,0.849932,42.5199,54.3882,49.207,84.7782,0.862832,0,0.862832
985,42023,31019,52231,0.771888,0.84991,42.4227,54.4003,49.1865,84.7253,0.863717,0,0.863717
986,26609,26609,37630,0,0.851972,42.3246,54.4036,49.1678,84.6675,0.864602,0,0.864602
987,18748,18748,26513,0,0.854251,42.2282,54.417,49.1429,84.6136,0.865487,0,0.865487
988,19911,19911,28158,0,0.8565,42.1358,54.4235,49.1056,84.55,0.866372,0,0.866372
989,26209,29026,39107,0.278876,0.85655,42.0465,54.4295,49.0617,84.4839,0.867257,0,0.867257
990,20272,27720,34341,0.843413,0.854592,41.9501,54.4368,49.0343,84.4247,0.868142,0,0.868142
991,28813,28736,40693,0.0082306,0.853649,41.8565,54.4317,48.9997,84.3548,0.869027,0,0.869027
992,21446,19726,29138,0.184029,0.851065,41.761,54.4359,48.9702,84.2931,0.869911,0,0.869911
993,14079,10716,17693,0.359828,0.848481,41.6655,54.4449,48.9404,84.2344,0.870796,0,0.870796
994,27900,28531,39905,0.595882,0.847257,41.5712,54.4372,48.9088,84.1644,0.871681,0,0.871681
995,23500,29361,37607,0.758394,0.848,41.4761,54.4423,48.8777,84.1027,0.872566,0,0.872566
996,19100,30192,35726,0.920907,0.848742,41.3811,54.4481,48.8463,84.0414,0.873451,0,0.873451
997,31088,31088,43965,0,0.848615,41.2867,54.4432,48.8137,83.9728,0.874336,0,0.874336
998,32066,32066,45348,0,0.848142,41.1899,54.4507,48.7859,83.9139,0.875221,0,0.875221
999,50662,50662,71646,0,0.848367,41.0917,54.4463,48.7704,83.8539,0.876106,0,0.876106
1000,61481,61481,86947,0,0.849933,40.9934,54.4415,48.7535,83.7929,0.876991,0,0.876991
1001,63400,63400,89661,0,0.851365,40.8973,54.4465,48.7236,83.7317,0.877876,0,0.877876
1002,50667,50667,71653,0.101533,0.855308,40.8048,54.4443,48.6853,83.6629,0.878761,0,0.878761
1003,48327,48325,68343,0.562653,0.857982,40.7133,54.4412,48.6445,83.5925,0.879646,0,0.879646
1004,47852,47850,67671,0.656037,0.860937,40.622,54.4472,48.6043,83.5286,0.880531,0,0.880531
1005,45599,45599,64486,0,0.864335,40.5298,54.4501,48.5662,83.4634,0.881416,0,0.881416
1006,37644,37644,53236,0,0.867174,40.4376,54.4436,48.5268,83.3916,0.882301,0,0.882301
1007,51108,51108,72277,0,0.869743,40.3484,54.4515,48.4828,83.3279,0.883186,0,0.883186
1008,21665,21665,30638,0,0.872996,40.2582,54.4526,48.4395,83.2598,0.884071,0,0.884071
1009,58040,58494,82402,0.182969,0.87399,40.1658,54.4571,48.4015,83.196,0.884956,0,0.884956
1010,23297,23297,32946,0,0.866289,40.0774,54.4635,48.3551,83.1305,0.885841,0,0.885841
1011,21483,21483,30381,0,0.861716,39.986,54.4738,48.3159,83.0705,0.886726,0,0.886726
1012,9366,9366,13245,0,0.859469,39.891,54.4788,48.2847,83.0099,0.887611,0,0.887611
1013,66446,23906,70615,0.387534,0.857514,39.8024,54.483,48.2387,82.9434,0.888496,0,0.888496
1014,30775,16457,34898,0.130428,0.857691,39.7136,54.4914,48.1926,82.8795,0.889381,0,0.889381
1015,36542,40407,54479,0.407122,0.857141,39.6191,54.4929,48.1606,82.8166,0.890265,0,0.890265
1016,40223,38922,55971,0.175985,0.855229,39.5283,54.4955,48.1185,82.7505,0.89115,0,0.89115
1017,49380,50484,70618,0.837161,0.853641,39.4356,54.4976,48.0816,82.6861,0.892035,0,0.892035
1018,60678,60685,85816,0.606542,0.849086,39.3425,54.5003,48.0454,82.6225,0.89292,0,0.89292
1019,60686,35008,70059,0.895631,0.839497,39.2466,54.5068,48.0178,82.5651,0.893805,0,0.893805
1020,61447,58345,84734,0.00253418,0.83259,39.1534,54.5197,47.9834,82.5093,0.89469,0,0.89469
1021,37000,37000,52325,0,0.827328,39.0639,54.5209,47.9386,82.4417,0.895575,0,0.895575
1022,32106,32106,45404,0,0.82549,38.9714,54.5128,47.8978,82.3688,0.89646,0,0.89646
1023,27211,27211,38482,0,0.823651,38.8766,54.51,47.8641,82.3025,0.897345,0,0.897345
1024,24618,24618,34815,0,0.823492,38.7817,54.5242,47.838,82.252,0.89823,0,0.89823
1025,29811,29811,42159,0,0.831259,38.6894,54.5482,47.8094,82.2077,0.899115,0,0.899115
1026,29697,29697,41997,0,0.838231,38.5994,54.5589,47.7666,82.1476,0.9,0,0.9
1027,29455,29455,41655,0,0.846921,38.5079,54.5682,47.7265,82.0875,0.900885,0,0.900885
1028,17649,17649,24959,0,0.861223,38.4149,54.5638,47.6908,82.0202,0.90177,0,0.90177
1029,13558,22362,26151,0.562555,0.873866,38.3203,54.5555,47.658,81.9514,0.902655,0,0.902655
1030,37228,25419,45078,0.00100289,0.881154,38.2291,54.5573,47.6176,81.8865,0.90354,0,0.90354
1031,38831,38831,54915,0,0.887956,38.1406,54.5631,47.5714,81.8222,0.904425,0,0.904425
1032,68066,68066,96259,0,0.896606,38.0526,54.5712,47.5247,81.7594,0.90531,0,0.90531
1033,77611,77611,109758,0,0.903908,37.9664,54.5819,47.475,81.6977,0.906195,0,0.906195
1034,77608,77608,109754,0,0.912946,37.8778,54.5834,47.4281,81.6302,0.90708,0,0.90708
1035,56234,61119,83052,0.0558528,0.922313,37.7962,54.5966,47.3725,81.569,0.907965,0,0.907965
1036,26941,41001,49060,0.204646,0.93151,37.7144,54.6133,47.3175,81.5104,0.90885,0,0.90885
1037,35926,44342,57069,0.145445,0.938486,37.6294,54.6283,47.2671,81.4518,0.909734,0,0.909734
1038,47005,47005,66475,0,0.945991,37.5529,54.6439,47.2047,81.3908,0.910619,0,0.910619
1039,41936,42148,59456,0.222285,0.951811,37.4807,54.6497,47.1354,81.3212,0.911504,0,0.911504
1040,32309,32924,46128,0.644283,0.955076,37.4059,54.6547,47.069,81.2516,0.912389,0,0.912389
1041,52607,28249,59711,0.139344,0.95784,37.3287,54.6687,47.0072,81.1898,0.913274,0,0.913274
1042,54425,47299,72106,0.040767,0.960408,37.2533,54.6868,46.9439,81.1307,0.914159,0,0.914159
1043,56897,56897,80464,0,0.961794,37.1733,54.7082,46.888,81.0761,0.915044,0,0.915044
1044,58664,58664,82963,0,0.960505,37.0978,54.7339,46.8278,81.0239,0.915929,0,0.915929
1045,28369,76100,81215,0.60999,0.95763,37.0178,54.7512,46.7703,80.9659,0.916814,0,0.916814
1046,14426,14426,20401,0,0.953386,36.9405,54.7751,46.7115,80.9128,0.917699,0,0.917699
1047,58560,39601,70693,0.00582893,0.947466,36.8663,54.7969,46.648,80.8571,0.918584,0,0.918584
1048,79263,1667,79280,0.0238573,0.943275,36.796,54.8157,46.5795,80.7982,0.919469,0,0.919469
1049,58522,58520,82761,0.142486,0.935146,36.7188,54.8274,46.5169,80.735,0.920354,0,0.920354
1050,14713,14713,20807,0.0135897,0.929076,36.6447,54.8353,46.4502,80.6682,0.921239,0,0.921239
1051,37960,36713,52809,0.0268558,0.92396,36.577,54.8468,46.3775,80.6035,0.922124,0,0.922124
1052,36586,36578,51734,0.267938,0.912359,36.5028,54.8618,46.3126,80.5427,0.923009,0,0.923009
1053,36644,36700,51862,0.212794,0.898409,36.4356,54.873,46.2392,80.4777,0.923894,0,0.923894
1054,36906,67935,77312,0.0440826,0.886783,36.3686,54.8781,46.1653,80.4084,0.924779,0,0.924779
1055,53730,58138,79164,0.00626119,0.874658,36.3128,54.8901,46.083,80.3441,0.925664,0,0.925664
1056,67661,64061,93176,0.788154,0.866996,36.2492,54.8932,46.0057,80.2733,0.926549,0,0.926549
1057,65832,65886,93138,0.767297,0.860043,36.1913,54.9022,45.9249,80.207,0.927434,0,0.927434
1058,42927,44994,62186,0.0394633,0.85285,36.1349,54.9171,45.8437,80.1453,0.928319,0,0.928319
1059,36564,45468,58346,0.372753,0.847075,36.0723,54.9255,45.7661,80.0785,0.929204,0,0.929204
1060,66428,57686,87979,0.604901,0.843926,36.0137,54.942,45.6869,80.0181,0.930089,0,0.930089
1061,59055,59055,83516,0,0.841448,35.9595,54.9605,45.6048,79.9596,0.930973,0,0.930973
1062,33866,33866,47893,0,0.835026,35.9028,54.9719,45.5228,79.8952,0.931858,0,0.931858
1063,11992,15446,19554,0.140587,0.828873,35.8543,54.9881,45.4371,79.8358,0.932743,0,0.932743
1064,50472,50472,71378,0.830324,0.822674,35.8069,55.0107,45.3522,79.7818,0.933628,0,0.933628
1065,50473,29639,58531,0.51843,0.818559,35.7533,55.0362,45.2717,79.7296,0.934513,0,0.934513
1066,45376,34553,57034,0.166594,0.818143,35.7082,55.0641,45.1869,79.6806,0.935398,0,0.935398
1067,41859,41859,59197,0,0.819539,35.6615,55.0912,45.1028,79.6307,0.936283,0,0.936283
1068,41858,41858,59196,0,0.821387,35.6084,55.1194,45.0226,79.581,0.937168,0,0.937168
1069,41856,41856,59193,0,0.82484,35.5638,55.145,44.9368,79.5303,0.938053,0,0.938053
1070,39693,48187,62430,0.652178,0.826574,35.5154,55.1644,44.8517,79.4741,0.938938,0,0.938938
1071,41295,51368,65908,0.185173,0.825691,35.4726,55.1906,44.7653,79.4244,0.939823,0,0.939823
1072,34448,37176,50682,0.0501552,0.829358,35.4361,55.2237,44.6782,79.3821,0.940708,0,0.940708
1073,42925,42925,60705,0,0.828026,35.3922,55.2583,44.5954,79.34,0.941593,0,0.941593
1074,29171,29171,41254,0,0.830322,35.3537,55.2864,44.5077,79.2932,0.942478,0,0.942478
1075,12787,12787,18083,0,0.833172,35.3186,55.3091,44.4165,79.2422,0.943363,0,0.943363
1076,17232,17232,24369,0.629191,0.838515,35.2735,55.3336,44.3306,79.1911,0.944248,0,0.944248
1077,22809,18082,29106,0.356163,0.841167,35.2215,55.3638,44.2508,79.1444,0.945133,0,0.945133
1078,46559,45235,64914,0.0997239,0.840505,35.1738,55.3829,44.1647,79.0884,0.946018,0,0.946018
1079,53669,53669,75899,0,0.839518,35.1326,55.4141,44.0796,79.0445,0.946903,0,0.946903
1080,51879,51879,73367,0,0.837236,35.0915,55.4523,43.9965,79.0067,0.947788,0,0.947788
1081,52841,52841,74728,0,0.83318,35.0472,55.4841,43.9125,78.9626,0.948673,0,0.948673
1082,53483,53483,75636,0,0.830184,35.0112,55.5211,43.8271,78.9252,0.949558,0,0.949558
1083,58329,58329,82489,0,0.832135,34.978,55.56,43.7411,78.8902,0.950442,0,0.950442
1084,53835,58285,79343,0.2055,0.833608,34.9391,55.5959,43.6561,78.8511,0.951327,0,0.951327
1085,45072,55283,71328,0.471612,0.834841,34.9011,55.6367,43.5732,78.8172,0.952212,0,0.952212
1086,46901,48846,67717,0.0898213,0.836344,34.8739,55.6873,43.4913,78.7956,0.953097,0,0.953097
1087,57178,49279,75483,0.0236983,0.83178,34.8532,55.7313,43.4038,78.7693,0.953982,0,0.953982
1088,66392,62290,91038,0.239148,0.827479,34.8335,55.777,43.3171,78.7453,0.954867,0,0.954867
1089,74069,74069,104749,0,0.825686,34.8183,55.8218,43.229,78.7218,0.955752,0,0.955752
1090,67031,67031,94796,0,0.822144,34.8086,55.8665,43.1394,78.7002,0.956637,0,0.956637
1091,59994,59994,84844,0,0.818601,34.7969,55.9114,43.0505,78.6782,0.957522,0,0.957522
1092,41183,41183,58241,0,0.81527,34.7766,55.9642,42.9684,78.6618,0.958407,0,0.958407
1093,64132,64131,90695,0.0123959,0.812195,34.7643,56.0206,42.8865,78.6518,0.959292,0,0.959292
1094,42564,42561,60192,0.0346941,0.812002,34.7544,56.0697,42.7997,78.6351,0.960177,0,0.960177
1095,39136,39136,55346,0,0.811496,34.7437,56.1083,42.7083,78.6083,0.961062,0,0.961062
1096,50023,50023,70743,0,0.811036,34.7377,56.1606,42.6229,78.5967,0.961947,0,0.961947
1097,59962,58981,84108,0.070152,0.81058,34.732,56.2198,42.5416,78.5924,0.962832,0,0.962832
1098,36483,57116,67773,0.275123,0.809948,34.725,56.2752,42.4586,78.5841,0.963717,0,0.963717
1099,36397,36397,51473,0,0.808514,34.7241,56.3352,42.3788,78.5835,0.964602,0,0.964602
1100,33299,33299,47091,0,0.805709,34.7312,56.3945,42.2983,78.5859,0.965487,0,0.965487
1101,43760,38416,58229,0.00765127,0.805243,34.7253,56.4501,42.2155,78.5787,0.966372,0,0.966372
1102,58016,38416,69581,0.0280591,0.804446,34.7298,56.5027,42.1304,78.5728,0.967257,0,0.967257
